AGE,GENDER,OCCUPATION:,INCOME (RM XXXX):,MARITAL STATUS,What is your travelling duration?,Why you usually travel?,What is your budget for travelling?,How long do you plan for your travel?,Usually where do you plan to stay?,Travelling frequency,Travelling Transportation,Do you prefer using tour guide?,Do you prefer travelling local or overseas?,Language preferences,Do you prefer solo or group travel?
18,0,1,70050,1,0,0,1,0,4,2,3,0,0,0,1
7,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0
11,1,1,2500,0,0,1,5,0,3,0,0,0,0,0,1
3,0,1,1600,1,0,1,5,0,2,1,1,0,1,0,1
5,1,0,0,1,3,4,4,2,4,1,3,1,1,1,0
10,1,1,3100,1,1,2,5,0,4,0,0,0,0,1,1
30,1,1,15000,0,1,1,2,0,4,1,0,0,1,0,0
9,0,1,3096,1,1,1,1,2,3,1,1,0,0,2,1
26,0,1,3300,0,1,1,4,3,4,1,3,0,1,1,0
14,1,1,7000,0,0,1,1,0,4,0,1,0,0,1,1
19,0,1,3600,0,1,2,4,3,3,0,2,0,1,1,0
11,1,1,5200,1,1,1,1,1,4,2,3,1,1,0,1
19,0,1,3429,0,1,0,5,2,3,2,0,1,0,1,0
10,1,1,3000,1,0,1,5,0,4,1,0,0,0,0,0
6,1,1,3000,1,1,2,2,0,1,1,1,1,1,0,0
6,1,0,1200,1,0,1,5,1,3,1,2,0,0,1,1
5,1,1,0,1,0,1,5,1,4,1,3,0,0,0,0
37,0,1,0,0,0,1,2,1,4,0,0,0,0,0,0
5,1,1,0,1,1,3,5,0,2,1,0,0,0,1,0
5,0,0,0,1,0,3,5,0,0,2,4,0,1,1,0
5,0,0,1000,1,1,1,3,1,3,0,0,0,0,1,0
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
18,0,1,5000,1,1,2,1,1,0,2,3,0,1,1,1
21,1,1,2500,0,1,3,2,1,4,0,0,0,0,0,0
30,1,1,6700,0,0,3,5,0,4,3,0,0,0,0,0
42,0,1,5900,0,2,0,2,0,4,1,1,0,1,1,1
5,0,0,0,1,0,2,5,1,0,0,2,0,0,0,1
12,0,1,3800,1,1,1,1,1,2,0,1,0,0,1,0
5,1,0,2100,1,0,1,5,0,3,0,2,0,0,0,1
4,1,0,1000,1,0,1,5,0,4,0,1,0,0,0,1
6,1,1,0,1,1,1,1,0,3,0,0,0,0,0,0
29,1,1,5600,0,0,2,1,3,0,0,0,0,1,1,1
8,0,0,1200,1,0,1,5,0,4,1,2,0,0,0,1
7,1,0,0,1,0,0,5,0,4,0,0,0,0,0,0
10,1,1,3500,0,0,3,5,0,3,1,1,0,0,0,0
27,0,1,3500,0,0,0,1,2,2,1,2,0,0,0,1
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
6,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
7,1,0,0,1,0,0,5,1,0,0,2,0,0,0,1
6,1,0,1000,1,0,0,5,1,4,0,1,0,0,0,1
29,0,1,3000,0,0,3,5,0,4,1,0,0,0,0,1
15,0,1,3000,1,1,0,1,1,3,0,2,0,1,1,1
12,1,1,3800,1,1,1,2,1,0,0,0,0,0,0,0
10,1,1,3000,1,0,1,5,0,4,1,0,0,0,0,0
12,1,1,2500,0,0,1,5,0,2,0,0,0,0,0,0
13,1,1,20000,1,1,0,2,1,3,1,0,0,1,1,0
9,0,1,6000,0,0,0,1,0,3,2,1,0,1,1,0
29,1,1,4500,0,1,0,2,0,3,1,3,1,1,0,1
8,1,0,1300,1,0,0,5,0,0,0,0,0,0,0,1
15,0,1,23674,0,0,1,3,2,3,1,2,0,0,1,0
8,1,0,0,1,1,3,5,1,4,0,0,0,0,0,0
14,0,1,1600,0,0,0,5,0,2,0,0,0,0,0,0
8,0,1,0,1,1,1,3,1,3,1,0,0,0,1,1
26,1,1,10000,0,0,1,5,1,1,1,1,0,0,2,1
16,1,1,4090,1,1,1,4,3,4,1,2,0,0,1,1
27,0,1,6800,1,0,1,1,0,2,1,1,1,1,0,1
36,1,1,6000,0,0,1,1,0,3,2,1,1,0,1,1
5,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0
12,1,1,4500,1,0,0,1,0,4,0,0,1,1,1,1
5,0,1,1700,1,1,1,5,0,4,1,3,0,0,1,0
35,1,1,8000,0,2,1,2,1,2,2,3,1,0,2,1
6,1,0,1000,1,0,1,5,0,2,1,2,0,0,0,1
19,0,1,3000,0,0,1,3,0,4,1,0,0,0,0,0
11,1,1,2500,0,0,1,5,0,3,0,0,0,0,0,1
30,0,1,500,0,1,1,2,0,4,0,2,1,0,0,0
5,0,1,0,1,1,1,5,0,4,1,0,1,0,0,0
7,0,1,3000,1,1,3,1,4,4,1,3,0,0,1,0
42,1,1,35670,0,2,1,0,2,1,1,3,1,1,1,0
6,0,0,0,1,0,2,5,1,4,1,0,0,0,0,0
7,1,0,0,0,0,2,5,0,4,1,2,0,0,0,1
12,1,1,3800,1,1,1,2,1,0,0,0,0,0,0,0
33,0,1,8000,0,2,3,0,2,0,1,3,0,1,1,1
20,0,1,5000,1,0,2,5,1,3,0,0,0,0,0,0
8,0,1,0,1,1,3,1,2,2,1,0,0,0,0,0
5,1,0,1000,1,1,1,5,0,1,0,1,0,0,0,1
15,0,1,6900,0,0,0,3,1,4,1,2,0,0,2,1
5,0,0,0,1,1,1,4,2,4,1,3,0,1,1,0
7,1,0,0,1,0,0,5,1,0,0,2,0,0,0,1
9,0,1,7000,1,1,0,2,2,4,0,3,1,1,0,0
46,1,1,3000,0,0,3,5,0,4,1,0,0,0,0,1
5,1,0,0,1,1,2,5,1,4,0,2,0,0,0,1
14,0,1,5600,0,1,1,1,1,2,1,0,0,0,0,0
4,1,0,1000,1,0,2,5,0,2,0,1,0,0,0,1
20,1,1,6000,0,0,2,1,1,4,1,0,0,0,0,1
10,0,1,3000,0,1,2,1,0,0,1,2,0,0,1,1
5,1,0,2000,1,1,1,1,3,3,0,3,0,1,1,1
17,0,1,4500,1,1,0,1,1,3,1,3,0,1,1,1
6,1,0,500,1,1,2,1,0,4,1,0,1,1,1,0
7,0,0,1500,1,0,2,5,1,4,1,2,0,0,0,1
22,1,1,9000,0,1,1,3,3,4,2,1,0,1,2,1
20,0,1,1280,0,0,2,2,1,2,0,0,0,0,0,1
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
14,0,1,4500,1,2,3,3,3,1,2,3,1,1,1,0
18,1,1,50000,0,1,1,2,1,2,1,2,0,0,0,0
30,0,1,0,0,1,1,3,1,4,0,3,1,1,1,0
9,1,0,0,1,0,4,5,3,1,2,1,0,1,1,1
7,0,0,0,1,1,2,5,0,4,0,0,0,0,0,1
34,0,1,5900,1,0,1,2,1,4,2,0,0,0,1,1
43,1,1,1000000,0,1,2,0,3,4,1,1,0,0,1,1
20,1,1,10000,0,2,2,0,3,3,2,3,0,0,0,0
15,1,1,7800,0,1,3,3,2,1,2,2,0,1,0,0
7,1,0,0,0,0,2,5,0,4,1,2,0,0,0,1
10,1,1,2500,0,0,1,5,1,3,0,0,0,0,0,0
8,1,1,6700,1,1,2,2,2,2,2,3,0,0,0,1
26,0,1,7900,1,1,0,2,1,4,0,0,0,1,0,1
7,1,0,1500,1,0,2,5,0,2,1,1,0,0,0,1
41,1,1,4390,0,0,3,1,1,3,2,1,1,0,0,1
30,1,1,20000,0,2,1,0,1,4,1,3,0,1,1,0
6,1,0,1000,1,1,2,5,0,1,0,1,0,0,0,1
8,1,1,2500,1,0,3,5,0,0,1,1,0,0,0,0
42,0,1,10000,1,2,1,0,2,4,1,3,0,1,1,1
9,1,1,60800,1,1,0,1,1,0,1,2,0,1,1,1
6,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
7,1,0,0,0,0,2,5,0,4,1,2,0,0,0,1
6,1,0,0,1,0,2,5,0,4,0,0,0,0,0,1
25,0,1,4000,1,2,2,0,2,4,0,3,0,1,1,1
21,1,1,6800,0,2,2,4,2,4,2,3,1,1,1,1
23,1,1,6000,1,1,0,3,1,2,0,3,0,1,1,0
30,0,1,3000,0,2,1,3,1,4,0,0,1,0,0,0
5,1,0,1222,1,0,1,5,0,3,0,0,0,0,0,1
17,0,1,4500,1,1,0,3,2,0,1,3,0,1,1,1
6,1,0,1000,1,0,3,5,0,2,0,0,0,0,1,1
8,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
9,1,1,5000,1,1,2,4,1,4,1,3,0,1,1,1
8,0,1,2600,1,2,1,0,3,0,0,3,0,1,1,0
14,0,1,5000,1,2,0,4,1,4,1,2,1,1,1,0
12,1,1,5000,1,2,0,3,1,4,1,3,0,1,1,1
6,0,0,0,1,0,1,5,0,0,0,2,0,0,0,0
39,0,1,3700,0,2,0,3,3,2,0,1,1,1,0,1
33,0,1,5000,0,2,1,0,1,0,2,0,0,0,1,1
8,0,1,4500,1,2,2,4,2,0,0,3,1,1,1,0
7,1,0,0,0,0,3,5,0,4,1,2,0,0,0,0
7,1,0,0,1,0,1,5,1,2,0,0,0,0,0,0
11,0,1,8000,0,2,1,4,1,4,1,3,0,1,0,1
13,0,1,4000,1,1,0,2,0,2,0,2,0,0,1,1
9,0,1,2500,1,0,0,5,0,4,0,2,0,0,0,1
7,1,0,1000,1,0,2,5,1,3,0,2,0,0,0,1
18,1,1,6800,1,1,1,3,1,4,1,1,1,1,1,1
7,1,0,0,1,0,0,5,1,0,0,2,0,0,0,1
7,1,0,2000,1,0,1,5,0,2,0,2,0,0,0,1
20,0,1,3700,0,1,1,4,0,2,2,2,1,0,0,1
6,1,0,1000,1,1,2,5,0,3,1,2,0,0,1,1
8,1,0,0,1,1,3,5,1,4,0,0,0,0,0,0
12,0,1,4500,0,0,3,1,0,3,1,0,0,0,1,0
24,0,1,4500,0,0,0,2,2,3,1,2,0,1,0,0
18,1,1,16435,0,1,0,3,2,4,2,1,0,1,0,0
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
22,0,1,1500,1,1,1,1,1,4,1,3,0,0,0,0
29,0,1,6700,0,0,0,1,1,4,1,0,0,0,1,0
24,0,1,8000,1,0,1,3,1,3,1,2,0,0,0,1
13,0,1,8900,0,1,0,2,2,2,0,2,0,1,1,0
11,1,1,4590,0,1,1,5,0,4,1,0,1,1,1,1
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
5,0,0,0,1,1,0,0,2,4,0,3,1,1,2,0
14,0,1,6000,0,0,1,1,1,0,1,1,0,0,1,1
5,0,0,2500,1,1,2,2,2,3,0,0,0,1,1,0
5,0,1,0,1,1,1,2,0,4,0,0,0,1,1,0
5,0,0,0,1,1,4,5,1,4,1,0,0,0,0,0
6,0,1,0,1,2,1,3,1,0,3,2,0,1,1,1
43,0,1,6000,0,0,3,5,0,4,1,0,0,0,0,1
5,1,0,2000,1,1,1,2,1,0,0,2,0,1,1,0
23,1,1,9000,0,0,3,2,4,4,0,0,0,0,0,0
2,1,0,1000,1,1,3,5,0,2,1,0,0,0,0,1
12,1,1,4500,1,0,0,1,0,4,0,0,1,1,1,1
5,0,0,500,1,0,2,5,0,2,2,0,0,0,1,1
5,0,0,0,1,0,1,5,2,3,0,0,1,0,1,0
30,0,1,1000,0,0,1,1,0,3,1,0,0,0,0,0
10,1,1,2500,0,0,1,5,1,3,0,0,0,0,0,0
30,0,1,5000,0,2,1,4,0,0,0,2,1,0,1,1
29,1,1,10000,0,1,2,4,0,4,1,0,0,0,1,0
44,0,1,4000,0,0,4,1,1,4,1,0,0,0,0,0
17,1,1,3700,0,2,0,1,1,2,1,3,1,0,1,1
6,0,1,2300,1,0,1,5,0,4,0,0,0,0,0,0
2,1,0,440,1,0,1,5,0,1,0,2,0,0,0,1
12,0,1,9000,1,2,3,5,0,4,1,2,1,0,0,1
11,0,1,5200,1,1,1,1,1,2,1,0,0,1,1,0
6,0,0,1000,1,1,0,2,1,4,1,3,0,1,1,1
5,0,0,0,1,1,1,5,0,0,0,2,0,1,1,0
8,1,0,1000,1,0,1,5,1,3,0,2,0,0,0,1
5,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0
5,0,0,0,1,1,1,1,1,4,1,0,0,1,0,0
7,1,0,0,1,0,1,5,1,2,0,0,0,0,0,0
32,0,1,7700,0,1,1,4,1,4,1,0,0,1,1,0
40,1,1,3470,0,1,1,1,1,3,1,2,0,0,0,1
13,0,1,7200,1,0,0,1,3,3,1,1,1,1,0,1
21,1,1,5100,1,0,2,1,3,2,2,2,0,0,0,1
19,0,1,5400,0,1,1,1,0,4,1,1,1,0,1,1
9,0,0,1500,1,0,2,5,0,4,0,1,0,0,0,1
4,1,0,1000,1,1,3,1,1,4,1,3,0,0,1,1
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
14,1,1,3256,0,2,1,1,2,0,1,1,1,0,1,1
12,0,1,4500,0,0,3,1,0,3,1,0,0,0,1,0
25,1,1,4300,1,1,0,1,0,4,0,1,1,0,1,1
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
5,1,1,2900,1,0,4,4,2,0,1,3,0,1,1,1
6,1,0,1000,1,1,3,5,0,2,2,2,0,0,0,1
36,0,1,8000,0,1,1,4,1,3,0,0,0,0,1,1
7,1,0,0,1,0,0,5,1,0,0,2,0,0,0,1
6,1,0,1000,1,0,2,5,2,1,0,1,0,0,0,1
10,1,1,2500,0,0,1,5,1,3,0,0,0,0,0,0
3,0,1,7000,1,2,2,3,3,4,2,2,0,0,1,0
12,1,1,2500,0,0,1,5,0,2,0,0,0,0,0,0
33,1,1,9100,1,1,0,3,0,4,3,0,1,1,1,1
18,1,1,5000,0,0,1,3,1,3,1,3,0,0,1,0
7,1,0,1200,1,0,1,1,0,4,1,0,0,0,0,1
18,1,1,4500,0,0,1,1,1,4,0,3,0,0,0,1
4,0,1,4000,1,0,3,1,3,2,2,0,1,1,1,0
23,0,1,7000,1,0,4,5,3,1,0,0,0,1,2,0
5,0,0,0,1,0,1,1,0,4,2,0,0,0,0,0
32,0,1,4900,0,1,0,4,0,4,2,1,1,0,1,1
6,1,0,0,1,0,1,1,1,0,0,3,0,1,1,1
12,1,1,2500,0,0,1,5,0,2,0,0,0,0,0,0
20,0,1,3100,1,0,1,1,1,2,0,1,0,1,0,1
10,0,1,5600,1,0,3,2,1,0,1,0,0,1,0,0
7,1,1,4500,1,0,3,5,0,2,1,3,0,1,1,1
6,1,0,1000,1,0,2,5,0,0,0,2,0,0,0,1
3,1,0,1000,1,1,3,5,1,2,1,2,0,0,0,1
35,0,1,5000,0,0,2,1,1,2,1,0,0,0,0,1
5,1,0,0,1,1,1,5,0,0,1,0,0,0,0,0
8,1,1,1500,1,1,1,4,2,4,0,0,0,1,1,0
5,0,0,150,1,0,3,1,1,4,0,0,0,0,0,0
3,0,0,500,1,1,1,5,1,4,1,0,1,0,0,1
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
18,0,1,2007,0,2,3,5,1,3,0,1,0,1,0,1
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
16,1,1,3100,0,0,1,5,2,2,0,0,0,0,0,1
14,0,1,2500,1,0,0,5,1,4,0,0,0,0,1,0
24,1,1,4000,0,1,3,4,0,4,1,0,0,0,0,0
48,1,1,30000,0,1,4,0,0,4,2,3,0,1,0,0
32,1,1,4000,1,1,1,2,3,4,1,0,0,1,1,1
17,1,1,4000,0,1,3,5,0,2,2,0,0,0,1,0
30,0,1,12000,0,1,1,4,1,4,1,3,0,1,1,0
41,1,1,2500,0,0,3,5,0,3,1,0,0,0,0,1
14,1,1,4000,0,0,3,5,1,0,1,0,0,0,0,0
15,0,1,4100,1,1,1,1,1,2,0,1,0,1,0,1
7,1,0,800,1,0,1,5,0,0,1,0,1,0,0,0
23,1,1,3400,0,0,1,5,3,1,1,2,0,0,0,0
5,0,0,0,1,2,0,2,1,4,3,3,1,1,1,0
11,1,1,6000,1,0,1,1,2,2,1,1,0,0,1,1
14,1,1,4500,1,0,2,2,0,0,1,3,1,1,1,1
5,1,0,0,1,0,3,1,1,3,1,0,0,0,0,0
5,0,0,0,1,0,1,5,0,0,1,2,0,0,0,0
11,1,1,4000,1,0,2,5,0,4,1,0,0,0,0,1
10,1,1,3000,1,0,1,5,0,4,1,0,0,0,0,0
26,0,1,45900,0,2,0,3,3,4,1,1,1,0,1,0
9,1,1,5000,1,2,3,1,0,2,1,0,0,0,0,0
12,0,1,20000,1,2,1,1,2,4,1,0,0,0,2,0
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
7,0,0,0,1,1,2,5,1,2,0,2,0,0,0,1
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
5,1,1,2100,1,0,0,5,1,2,0,1,0,0,0,0
10,1,1,3000,1,1,1,4,2,0,1,3,0,1,1,0
3,1,1,9000,1,0,2,1,1,4,0,1,1,1,0,1
6,1,0,1000,1,0,3,1,0,2,2,1,0,0,0,1
5,0,1,1600,1,1,2,5,0,4,1,0,0,0,0,0
13,0,1,40599,1,0,3,5,0,2,2,0,0,0,0,1
15,1,1,5000,1,0,1,2,1,4,1,0,0,1,0,0
30,0,1,2000,0,0,1,1,1,3,1,0,0,0,0,0
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
6,1,0,2100,1,0,1,5,0,4,0,1,0,0,0,1
5,1,1,5000,1,0,1,2,0,4,1,2,0,0,1,0
12,0,1,4500,0,0,3,1,0,3,1,0,0,0,1,0
17,1,1,500000,0,2,3,4,2,2,0,3,0,1,1,0
14,0,1,3000,1,0,2,5,0,0,1,0,0,0,0,0
45,1,1,0,0,0,3,5,0,2,2,0,0,0,1,0
35,0,1,3000,0,0,1,5,0,4,0,0,0,0,1,0
12,0,1,1290,1,2,1,1,3,2,1,0,0,1,1,0
2,1,0,600,0,0,1,5,2,2,0,1,0,0,1,0
30,0,1,100000,0,2,1,0,1,4,1,3,0,1,1,0
6,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
5,0,0,700,1,0,1,5,1,0,2,1,1,0,1,1
5,0,0,0,1,0,1,5,0,0,0,2,0,0,0,1
22,1,1,6000,0,0,0,4,0,4,0,2,1,0,0,0
6,0,1,0,1,0,2,4,1,0,0,0,0,1,1,0
9,1,1,3500,1,0,0,1,0,4,0,0,0,0,0,1
5,0,0,0,1,0,1,5,1,2,0,2,0,0,0,1
30,1,1,5600,1,1,2,1,3,3,0,2,0,0,0,1
16,1,1,40009,1,1,1,1,0,1,1,1,0,0,2,0
23,0,1,6700,1,2,1,0,2,3,0,1,0,0,1,1
9,0,0,0,1,0,1,5,0,0,1,0,0,1,1,1
29,1,1,10500,0,2,0,4,2,4,0,3,1,1,1,0
5,0,0,0,1,2,2,5,1,4,3,4,0,1,1,1
5,0,0,0,1,0,1,5,0,3,3,0,1,0,0,0
3,1,0,250,1,0,3,5,1,2,1,0,0,0,1,1
22,1,1,1200,0,1,1,2,2,0,2,2,1,0,1,1
21,0,1,6700,0,0,1,2,1,2,2,3,0,0,1,1
7,1,0,1000,1,1,2,5,2,1,0,0,0,0,0,1
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
6,1,0,700,1,0,1,5,0,3,0,2,0,0,0,1
14,1,1,6831,0,1,2,1,1,3,1,0,1,1,1,1
9,1,1,5000,1,1,1,4,1,0,1,3,0,1,1,1
6,0,0,0,1,2,4,0,4,4,3,4,1,0,0,0
5,0,0,0,1,1,1,1,2,0,0,0,0,1,1,0
8,1,1,7680,1,1,2,1,2,4,1,3,0,1,1,1
2,1,0,0,1,1,2,1,1,0,0,3,1,1,0,1
11,0,1,3000,0,0,3,1,0,3,0,0,0,0,0,0
30,1,1,6200,0,1,0,4,1,3,1,0,0,1,2,0
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
14,0,1,2500,1,0,2,5,0,4,0,0,0,0,0,1
3,1,1,4590,1,1,2,5,2,2,1,3,1,1,1,0
6,1,1,3000,1,1,0,4,1,3,0,1,0,1,0,0
8,0,0,1200,1,0,2,5,0,4,1,2,0,0,0,1
6,0,0,0,1,0,1,1,1,0,2,0,0,1,1,0
14,1,1,12000,0,2,2,3,2,4,2,3,0,1,1,0
5,1,0,1900,1,0,0,5,0,0,0,1,0,0,0,1
13,0,1,13000,1,0,0,5,0,0,1,0,0,0,0,0
4,0,0,0,1,2,1,3,2,3,0,0,0,0,0,0
8,1,1,2000,1,0,2,5,1,1,0,1,0,0,0,1
20,0,1,7800,0,0,3,1,1,0,0,1,1,1,1,1
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
12,1,1,7000,1,0,0,1,1,2,1,2,0,1,0,0
30,1,1,5000,1,1,1,3,2,4,0,3,0,1,1,1
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
29,1,1,5000,0,0,1,2,1,4,1,0,0,0,1,0
5,1,0,1222,1,1,0,5,0,2,1,2,0,0,0,1
7,1,0,1000,1,0,3,5,0,2,2,1,0,0,0,1
