AGE,GENDER,OCCUPATION:,INCOME (RM XXXX):,MARITAL STATUS,What is your travelling duration?,Why you usually travel?,What is your budget for travelling?,How long do you plan for your travel?,Usually where do you plan to stay?,Travelling frequency,Travelling Transportation,Do you prefer using tour guide?,Do you prefer travelling local or overseas?,Language preferences,Do you prefer solo or group travel?
7,1,1,3600,1,0,1,5,0,0,1,1,0,0,0,1
12,0,1,4500,0,0,3,1,0,3,1,0,0,0,1,0
12,0,1,4500,0,0,3,1,0,3,1,0,0,0,1,0
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
5,1,0,0,1,0,1,5,1,0,0,0,0,0,1,0
44,1,1,1200,0,0,3,5,4,2,1,0,0,0,0,0
3,0,0,0,1,1,2,1,1,4,0,0,1,0,1,1
5,0,0,0,1,0,1,5,0,4,1,0,0,0,0,0
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
19,0,1,6000,0,1,1,4,1,0,1,3,0,1,1,0
18,0,1,8000,0,1,0,3,1,4,1,0,1,1,1,0
4,1,0,800,1,0,3,5,0,1,0,1,1,1,0,0
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
30,1,1,2500,0,0,2,5,3,3,1,0,1,0,0,1
15,1,1,5700,0,1,0,5,3,4,1,1,1,1,1,0
18,1,1,3700,0,0,3,1,3,2,1,1,1,1,0,1
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
30,1,1,8000,0,0,1,1,1,4,1,0,0,0,0,1
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
9,1,1,3400,1,1,2,1,0,1,1,1,1,0,1,1
8,1,1,4000,1,1,0,1,1,4,1,3,0,1,1,1
5,0,0,150,1,0,3,1,1,4,0,0,0,0,0,0
4,0,0,0,1,2,1,1,2,4,0,3,0,1,1,1
5,0,0,0,1,1,3,1,3,2,1,0,0,0,0,1
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
7,1,0,0,0,0,2,5,0,4,1,2,0,0,0,1
6,1,1,2980,1,0,2,1,1,3,1,2,0,0,0,1
10,0,1,4030,1,1,2,5,1,2,1,0,1,0,1,0
12,1,1,3490,0,1,1,1,3,2,1,0,0,0,1,1
12,1,1,3800,1,1,1,2,1,0,0,0,0,0,0,0
3,1,0,0,1,2,1,1,1,0,0,3,1,1,1,0
17,1,1,5500,0,1,3,1,0,4,1,0,0,1,1,0
10,1,1,3100,1,1,2,5,0,4,0,0,0,0,1,1
8,0,1,1800,1,2,1,5,1,4,3,0,0,0,0,0
7,0,0,1200,1,1,2,5,1,4,0,2,0,1,1,1
35,0,1,4500,0,0,0,1,1,4,2,0,0,0,0,1
6,0,1,2300,1,0,1,1,0,4,1,0,0,0,0,0
16,0,1,8000,0,2,3,3,1,4,2,1,1,1,1,0
7,1,0,1000,1,0,1,5,0,3,0,1,0,0,0,1
11,0,1,5000,1,1,0,3,1,4,1,3,0,1,1,1
5,0,1,2000,1,1,2,3,2,4,1,3,1,1,1,1
5,0,0,0,1,1,1,3,1,3,0,3,0,1,1,1
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
8,1,0,1200,1,0,2,5,1,4,1,2,0,0,0,1
7,0,1,0,1,0,1,5,0,4,1,0,0,0,0,0
9,1,1,4000,1,0,0,1,0,4,1,0,0,0,0,1
10,1,1,2500,0,0,1,5,1,3,0,0,0,0,0,0
49,1,1,1000,0,0,3,5,4,2,0,0,0,0,2,1
5,1,0,600,1,0,2,5,0,0,1,0,0,0,0,1
29,1,1,5600,0,0,1,5,1,4,1,0,0,0,0,1
9,1,1,3500,1,0,0,1,0,4,0,0,0,0,0,1
3,1,1,400,1,2,1,2,1,4,1,0,0,1,0,0
6,1,1,3500,1,1,1,2,4,3,1,0,0,0,1,0
6,0,1,3000,1,1,0,1,2,4,1,0,0,0,1,1
5,1,1,180,1,1,2,5,1,4,0,0,0,0,0,0
18,1,1,6000,0,1,1,1,1,4,0,0,1,0,1,0
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
16,1,1,16000,0,1,1,3,1,2,1,3,1,1,0,1
3,0,0,500,1,0,1,5,0,3,0,2,0,0,0,0
8,1,0,1800,1,0,2,5,0,2,0,2,0,0,0,1
5,1,0,0,1,0,1,5,0,3,0,0,0,0,0,0
24,1,1,8000,0,1,1,0,2,2,2,3,1,1,1,0
6,1,1,500,1,1,2,5,1,0,0,3,0,1,1,1
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
24,1,1,3900,1,1,2,4,0,0,1,0,0,1,2,0
7,0,0,1500,1,0,1,5,0,1,0,0,0,0,0,1
16,0,1,3200,0,0,1,5,1,4,0,0,1,0,0,0
5,1,0,0,1,0,1,5,0,3,1,0,0,0,0,0
14,1,1,6500,1,0,2,1,0,4,1,3,0,1,1,1
3,0,1,3000,1,1,1,4,1,0,1,3,0,0,2,0
5,0,1,300,1,1,2,5,0,0,1,0,0,0,1,0
12,1,1,5300,0,0,1,2,0,1,0,2,0,0,1,0
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
14,1,1,2500,0,0,2,5,0,0,1,0,0,0,0,1
14,1,1,15000,0,2,0,3,2,4,1,3,0,1,1,0
10,0,1,1670,0,1,1,1,2,4,1,3,0,0,1,1
5,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
14,1,1,5500,1,1,2,2,1,0,2,0,1,0,1,1
6,1,1,3000,1,0,1,5,0,2,1,1,1,1,0,1
7,0,1,6500,0,1,0,1,1,0,1,1,0,0,0,1
9,1,1,3500,1,0,0,1,0,4,0,0,0,0,0,1
6,1,0,500,1,0,2,5,0,4,0,1,0,0,0,0
30,1,1,8000,0,2,1,2,4,3,1,0,0,0,0,0
9,1,1,4000,1,0,0,1,0,4,1,0,0,0,0,1
5,1,0,0,1,1,1,2,1,0,0,3,0,1,0,0
8,1,0,0,1,1,3,5,1,4,0,0,0,0,0,0
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
6,0,0,200,1,0,4,5,4,0,1,0,0,0,0,0
11,0,1,4000,0,0,1,5,1,0,1,0,0,0,0,0
24,1,1,0,0,2,2,0,3,4,1,3,0,1,2,0
2,1,1,300,1,2,2,4,0,0,0,2,0,1,1,1
3,0,0,100,1,1,0,5,0,3,1,2,0,0,0,1
43,1,1,90800,0,1,2,3,3,4,0,3,1,1,1,1
14,1,1,6500,1,0,2,1,0,4,1,3,0,1,1,1
5,1,0,0,1,1,3,5,0,0,0,0,0,0,0,1
5,1,1,2500,0,0,1,1,0,2,0,0,0,1,1,0
24,0,1,5000,0,0,0,1,0,4,1,0,0,0,0,1
33,1,1,5600,0,0,0,1,3,4,0,1,1,1,1,1
17,0,1,15000,0,1,0,0,1,4,2,3,0,1,1,0
6,0,1,100,1,1,2,2,1,3,0,0,0,0,0,0
5,1,1,500,1,2,2,0,2,2,0,0,0,1,0,0
6,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
7,1,0,0,0,0,3,5,0,4,1,2,0,0,0,0
7,0,0,0,1,0,2,5,0,4,0,0,0,0,0,1
16,0,1,6000,0,0,3,2,0,2,2,1,0,0,1,0
16,0,1,6800,1,0,1,2,0,4,1,1,0,1,1,1
9,1,1,3500,1,0,0,1,0,4,0,0,0,0,0,1
2,0,1,4312,1,0,1,2,0,2,1,1,1,0,1,0
6,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
6,0,0,0,1,2,2,0,3,0,0,3,0,1,1,0
11,1,1,50000,0,1,2,1,1,4,1,3,0,1,1,1
27,1,1,120000,0,1,1,5,3,1,0,1,1,1,2,0
35,0,1,2500,0,0,0,5,0,4,1,0,0,0,0,1
8,1,0,0,1,1,3,5,1,4,0,0,0,0,0,0
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
5,0,1,2000,1,1,1,5,0,4,1,0,0,0,0,1
5,0,1,500,1,0,4,1,1,4,0,0,0,1,0,1
8,0,1,2000,1,1,1,5,0,3,0,0,1,1,1,0
11,0,1,5000,1,1,2,5,0,4,1,0,0,0,0,1
7,0,0,0,1,1,2,5,1,2,0,2,0,0,0,1
5,0,0,0,1,0,0,1,4,3,1,2,1,0,0,0
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
8,0,1,4000,1,0,0,2,1,4,1,3,1,1,1,1
27,1,1,65000,0,1,3,3,2,3,1,1,1,0,0,0
6,0,0,0,1,0,2,1,0,3,0,0,0,1,1,0
18,0,1,0,0,1,0,1,1,0,1,3,1,1,1,0
29,1,1,6075,1,2,2,0,3,2,1,1,0,1,2,0
28,1,1,8000,1,0,1,2,1,2,1,0,0,0,1,0
5,0,1,2000,1,1,2,1,3,4,0,0,1,0,0,1
28,0,1,5700,0,1,1,2,2,2,1,2,1,1,0,1
33,0,1,7200,0,3,1,1,1,3,1,0,0,0,0,0
11,1,1,45000,1,1,0,1,1,4,0,0,0,1,1,1
8,1,1,5000,1,1,1,1,0,3,1,2,1,1,2,1
5,1,0,500,1,0,1,5,1,3,0,1,0,0,0,1
13,1,1,2600,0,1,1,1,3,3,1,2,0,1,0,1
9,0,1,6500,0,1,0,0,1,2,2,1,1,1,1,0
5,1,0,1300,1,0,3,5,0,2,2,2,0,0,0,1
8,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
5,0,0,0,1,1,2,4,0,4,1,3,0,0,1,0
11,0,1,6000,0,1,1,1,2,1,1,2,1,1,1,1
5,0,0,0,1,1,1,5,1,0,1,3,0,1,1,0
5,1,0,0,1,0,1,5,1,0,1,0,0,1,1,0
2,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
9,1,1,4600,1,2,1,5,1,4,0,0,0,0,0,1
40,0,1,5000,1,0,1,1,0,2,0,1,1,1,0,1
9,1,1,4000,1,0,0,1,0,4,1,0,0,0,0,1
7,1,0,0,0,0,2,5,0,4,1,2,0,0,0,1
16,0,1,6500,0,1,2,1,0,1,1,0,1,0,1,0
11,1,1,21000,0,1,2,0,1,4,3,3,0,1,1,0
24,0,1,5000,0,0,0,5,1,3,1,0,0,0,0,0
7,0,1,2500,1,0,1,1,1,2,1,1,0,0,0,0
22,1,1,3000,0,1,0,1,1,0,0,1,1,0,0,0
29,0,1,0,0,1,3,3,0,4,1,0,0,0,0,0
6,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
5,1,0,1050,1,0,3,5,0,4,1,0,0,0,0,1
0,0,1,0,1,2,0,0,1,3,0,3,1,1,1,0
24,1,1,8900,0,1,1,2,2,4,1,3,0,1,1,1
5,1,0,1000,1,0,1,5,0,1,0,1,0,0,0,0
33,0,1,4000,0,1,1,3,2,0,0,3,0,1,1,0
19,0,1,3200,1,1,3,5,2,2,0,0,0,0,0,1
7,1,0,0,0,0,3,5,0,4,1,2,0,0,0,0
19,1,1,4000,0,1,2,3,1,3,0,3,1,1,1,0
29,0,1,4500,1,2,2,3,0,4,1,3,1,1,2,0
5,1,0,550,1,0,0,5,0,0,1,2,0,0,0,1
20,1,1,5000,0,0,0,2,1,4,0,3,1,1,1,1
3,0,0,700,1,0,1,5,0,0,1,0,1,0,0,1
6,0,0,1000,1,0,1,5,0,4,0,2,0,0,0,0
3,0,0,400,1,1,1,2,1,4,0,3,1,1,1,0
5,1,0,300,1,0,2,5,0,2,1,2,0,0,1,1
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
17,1,1,7800,0,2,3,4,0,2,0,2,0,1,1,1
15,1,1,5000,1,0,1,1,1,3,1,1,0,0,0,1
29,1,1,9000,0,1,1,3,1,3,1,3,1,1,1,0
7,1,0,1000,1,0,1,1,0,2,1,1,0,0,0,1
1,0,1,150,1,0,3,5,0,2,0,2,0,0,0,1
5,0,1,1800,1,0,1,5,0,0,2,0,0,1,1,0
6,0,1,190000,1,0,2,5,0,4,1,1,0,1,0,0
10,1,1,3000,1,1,1,1,1,4,1,2,0,1,0,0
6,1,0,0,1,0,2,5,0,4,0,0,0,0,0,1
32,0,1,0,0,0,3,5,1,4,1,0,0,0,0,0
5,0,0,0,1,0,1,5,1,3,1,0,0,0,0,0
6,0,0,0,1,0,2,5,1,3,0,2,0,0,0,1
11,0,1,5000,1,0,0,3,1,4,1,3,0,1,1,1
42,1,1,4500,0,0,1,5,2,0,1,0,0,0,0,1
24,1,1,6100,1,1,1,3,1,3,1,3,1,1,0,0
16,1,1,3100,0,0,1,5,2,2,0,0,0,0,0,1
5,0,0,0,1,0,1,5,0,3,1,0,0,0,0,0
5,1,0,500,1,0,0,1,0,4,0,0,0,0,1,0
17,1,1,9000,0,0,0,1,3,0,2,1,1,0,1,0
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
6,1,0,0,1,0,2,5,0,4,0,0,0,0,0,1
11,1,1,2500,0,0,1,5,0,3,0,0,0,0,0,1
4,1,0,0,1,0,1,5,0,3,0,0,0,0,0,0
13,0,1,3000,1,0,0,5,1,0,0,0,0,0,0,1
14,0,1,5000,0,1,0,2,1,4,2,1,1,0,1,0
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
9,0,1,4300,0,0,2,3,0,3,0,3,0,1,0,0
50,0,1,4500,1,0,3,5,0,2,0,0,0,1,0,1
6,0,0,2000,1,0,2,5,0,3,1,2,0,0,0,1
10,1,1,3000,1,0,1,1,1,4,0,3,0,1,1,1
38,0,1,0,0,1,2,3,2,4,1,0,0,1,0,0
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
14,1,1,5000,1,0,3,4,1,1,0,1,0,1,0,0
10,1,1,3200,0,0,1,2,1,0,1,1,0,0,1,1
14,0,1,6000,1,1,0,2,2,4,2,3,0,0,1,1
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
9,1,1,3500,1,0,0,1,0,4,0,0,0,0,0,1
10,1,1,3500,1,0,3,5,0,0,1,1,0,0,0,0
5,0,1,0,1,1,1,1,1,0,0,2,0,0,0,0
5,1,0,600,1,0,1,5,3,2,0,1,0,0,0,1
3,1,0,800,1,0,1,5,2,1,1,1,0,0,1,1
12,1,1,3500,1,0,3,5,0,0,1,1,0,0,0,0
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
5,1,0,1000,1,0,3,5,0,2,2,2,0,0,0,1
6,1,0,2000,1,0,1,5,0,3,1,1,0,0,0,1
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
14,0,1,7000,0,1,1,2,3,4,0,3,0,1,1,0
7,1,0,1500,1,0,3,5,0,2,0,2,0,0,0,1
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
3,1,0,1000,1,1,1,1,1,4,1,1,1,0,0,1
12,1,1,3000,1,0,1,5,1,0,1,0,0,0,0,0
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
5,0,0,150,1,0,3,1,1,4,0,0,0,0,0,0
12,0,1,5400,1,2,2,2,1,4,1,1,1,1,2,1
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
17,0,1,3200,1,0,0,5,1,2,2,0,0,0,0,1
7,0,1,3000,1,1,0,2,0,3,0,1,1,1,1,0
4,0,1,3100,1,1,0,1,1,0,1,1,0,1,0,0
30,1,1,7680,0,0,1,5,0,1,1,1,0,0,0,1
12,0,1,4500,0,0,3,1,0,3,1,0,0,0,1,0
7,0,0,0,1,1,2,5,1,2,0,2,0,0,0,1
5,1,0,1000,1,0,1,5,0,2,1,2,0,0,0,1
6,1,1,3000,1,0,2,5,2,2,0,1,0,1,1,1
14,1,1,9000,1,0,1,1,1,0,0,1,1,1,2,0
7,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0
3,1,0,0,1,1,2,5,0,4,0,0,1,1,0,0
5,0,0,0,1,1,0,5,0,4,1,0,0,0,0,0
7,1,0,0,1,0,1,5,1,2,0,0,0,0,0,0
6,1,0,0,1,1,1,1,1,4,1,3,0,0,1,0
10,1,1,3200,1,1,0,1,2,0,1,1,0,0,0,1
25,0,1,2000,0,1,1,3,1,1,2,1,1,0,1,1
34,1,1,5000,1,0,0,1,0,4,0,0,0,0,1,1
13,1,1,3400,0,1,2,5,1,2,2,1,1,0,1,1
7,1,0,0,0,0,3,5,0,4,1,2,0,0,0,0
19,0,1,6000,1,1,2,1,2,1,1,1,0,0,1,0
8,0,1,5420,1,0,2,2,1,0,0,0,0,1,1,1
5,0,0,0,1,1,1,5,0,3,0,0,0,1,0,0
6,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
11,0,1,5000,1,0,1,1,0,3,1,0,0,1,1,0
17,0,1,2000,0,0,1,1,1,3,0,0,0,0,1,0
7,1,0,0,1,0,0,5,0,4,0,0,0,0,0,0
27,1,1,3290,1,2,3,1,0,4,2,1,1,1,1,1
8,0,1,3500,0,0,1,1,2,2,2,1,1,1,0,1
7,1,0,0,1,0,0,5,1,0,0,2,0,0,0,1
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
5,0,0,500,1,0,2,5,0,4,0,0,0,0,0,1
5,1,0,1200,1,0,1,5,0,4,0,2,0,0,0,1
21,0,1,5700,0,1,1,3,0,0,2,4,1,1,2,0
12,1,1,1300,0,1,2,2,2,2,0,0,1,0,0,0
10,1,1,3500,1,0,1,5,1,1,1,1,0,1,1,1
14,1,1,6500,1,0,2,1,0,4,1,3,0,1,1,1
11,1,1,6000,1,0,3,1,0,4,1,0,0,0,0,1
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
16,1,1,9000,0,1,1,1,1,3,0,0,0,0,1,1
3,0,1,50,1,1,1,0,1,4,1,0,0,0,2,0
44,0,1,2423,0,2,2,5,1,1,0,2,0,1,2,0
26,0,1,32343,1,1,2,0,1,4,1,3,0,1,1,1
21,0,1,3000,0,1,3,1,1,4,1,3,1,0,1,1
6,1,0,0,1,0,1,5,0,4,1,0,0,0,0,0
6,0,0,0,1,0,1,1,1,4,1,0,0,0,0,0
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
12,1,1,3900,0,0,2,2,1,2,2,3,0,0,1,0
8,1,1,0,1,2,2,2,2,4,0,1,0,0,1,1
10,1,1,3100,1,1,2,5,0,4,0,0,0,0,1,1
12,1,1,6500,1,1,1,3,1,3,0,3,1,1,0,1
5,1,0,1000,1,1,2,5,0,4,0,0,0,1,0,1
16,1,1,3100,0,0,1,5,2,2,0,0,0,0,0,1
16,1,1,3100,0,0,1,5,2,2,0,0,0,0,0,1
5,1,0,800,1,1,1,5,4,0,1,2,0,1,1,0
29,1,1,10000,0,2,1,0,1,4,1,3,0,1,1,0
14,1,1,6500,1,0,2,1,0,4,1,3,0,1,1,1
16,1,1,3100,0,0,1,5,2,2,0,0,0,0,0,1
7,1,0,0,1,0,0,5,0,4,0,0,0,0,0,0
12,1,1,2500,0,0,1,5,0,2,0,0,0,0,0,0
21,1,1,6000,0,2,0,0,0,4,2,3,0,1,1,1
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
24,0,1,2500,1,0,2,5,0,2,1,0,0,0,1,1
7,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0
12,1,1,5900,0,0,1,2,1,4,1,1,1,1,1,1
17,1,1,7000,0,1,1,3,0,1,1,1,1,1,0,1
20,0,1,200000,0,2,1,0,1,2,2,1,0,1,2,0
5,1,0,0,1,1,1,5,4,3,0,2,0,0,0,0
5,0,1,1700,1,0,1,2,0,0,0,3,0,0,0,0
7,0,1,5000,1,0,1,1,3,4,2,0,0,0,1,0
10,0,1,6000,0,1,1,4,1,3,0,1,0,0,0,1
6,0,0,0,1,0,1,5,1,3,1,0,1,0,0,0
30,1,1,3500,0,1,1,3,1,4,0,3,1,0,0,0
28,0,1,5000,0,1,2,1,0,4,1,0,0,0,0,1
37,0,1,4600,0,0,1,1,1,2,1,2,1,0,1,1
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
28,0,1,7800,0,0,1,1,2,0,1,3,1,1,0,1
7,1,1,1500,1,0,2,1,3,1,0,0,0,0,0,1
6,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
6,1,0,0,1,0,0,1,0,4,1,0,1,0,0,0
22,1,1,51150,0,0,2,5,1,0,0,2,1,0,0,1
7,1,0,0,1,1,2,5,0,3,0,0,1,1,0,0
6,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
4,0,0,0,1,2,1,2,0,0,1,3,1,1,1,1
16,0,1,5000,1,1,0,0,1,4,1,3,0,1,1,1
11,0,1,9000,1,0,1,2,2,4,2,1,1,0,1,0
7,0,0,0,1,1,2,5,1,2,0,2,0,0,0,1
11,1,1,3000,1,0,3,5,0,4,1,1,0,0,0,1
15,1,1,5000,0,1,1,0,2,4,2,3,1,1,0,0
7,1,0,1000,1,0,1,5,0,2,0,1,0,0,1,1
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
24,0,1,8000,0,2,0,0,0,4,2,3,1,1,1,0
5,1,0,1000,1,0,1,1,1,2,1,2,0,0,0,1
8,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
15,0,1,17000,0,0,1,2,0,3,0,1,0,1,1,0
5,0,0,0,1,1,2,3,1,4,0,3,1,0,0,1
14,1,1,5000,1,0,1,2,2,0,1,3,1,1,1,1
7,1,0,0,0,0,3,5,0,4,1,2,0,0,0,0
3,1,0,2100,1,1,1,1,1,4,1,1,0,0,0,1
30,0,1,4200,0,2,3,2,1,3,1,0,0,1,1,0
7,1,0,0,1,0,1,5,1,2,0,0,0,0,0,0
21,0,1,110000,1,1,2,3,2,2,1,2,0,0,1,0
10,1,1,3100,1,1,2,5,0,4,0,0,0,0,1,1
6,1,0,1000,1,0,1,5,0,2,1,2,0,0,0,1
7,0,1,2500,1,1,3,2,0,3,0,0,0,0,1,0
8,1,0,1000,1,0,1,5,0,3,1,2,0,0,0,1
8,0,1,1800,1,0,2,5,1,4,0,3,0,0,0,0
